id,created_at,lang,emotions,key_emo
1.25707E+18,Sun May 03 22:03:56 +0000 2020,en,"[{'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25707E+18,Sun May 03 22:03:16 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25707E+18,Sun May 03 21:57:17 +0000 2020,en,"[{'score': 0.731731, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Joy', 'Tentative']"
1.25707E+18,Sun May 03 21:56:11 +0000 2020,en,"[{'score': 0.68517, 'tone_id': 'joy', 'tone_name': 'Joy'}]",['Joy']
1.25707E+18,Sun May 03 21:56:02 +0000 2020,en,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25707E+18,Sun May 03 21:55:19 +0000 2020,en,"[{'score': 0.766249, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Joy', 'Tentative']"
1.25707E+18,Sun May 03 21:54:16 +0000 2020,en,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25706E+18,Sun May 03 21:50:04 +0000 2020,en,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25706E+18,Sun May 03 21:45:08 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25706E+18,Sun May 03 21:44:26 +0000 2020,en,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25706E+18,Sun May 03 21:42:27 +0000 2020,en,"[{'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25706E+18,Sun May 03 21:39:49 +0000 2020,en,"[{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25706E+18,Sun May 03 21:38:44 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25706E+18,Sun May 03 21:37:12 +0000 2020,en,"[{'score': 0.57732, 'tone_id': 'joy', 'tone_name': 'Joy'}]",['Joy']
1.25706E+18,Sun May 03 21:34:22 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25706E+18,Sun May 03 21:33:51 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
